"Result","Team","Matches","Runs","Runs by Batsmen","Extras","Wides","No Balls","Leg-byes","Byes"
"All","All teams",57,17943,17042,901,523,52,279,47
"Won","All teams",57,9430,8988,442,256,30,137,19
"Lost","All teams",57,8513,8054,459,267,22,142,28
"Won","Chennai Super Kings",10,1634,1534,100,56,9,30,5
"Won","Delhi Daredevils",5,765,729,36,24,3,8,1
"Won","Kings XI Punjab",3,474,459,15,7,0,7,1
"Won","Kolkata Knight Riders",7,1167,1118,49,25,0,24,0
"Won","Mumbai Indians",10,1711,1626,85,57,6,19,3
"Won","Rajasthan Royals",7,1189,1132,57,32,5,17,3
"Won","Royal Challengers Bangalore",8,1251,1201,50,26,2,18,4
"Won","Sunrisers Hyderabad",7,1239,1189,50,29,5,14,2
"Lost","Chennai Super Kings",7,1091,1030,61,30,2,28,1
"Lost","Delhi Daredevils",8,1216,1151,65,46,0,15,4
"Lost","Kings XI Punjab",11,1529,1430,99,52,0,33,14
"Lost","Kolkata Knight Riders",6,877,821,56,38,6,10,2
"Lost","Mumbai Indians",6,1023,985,38,21,3,10,4
"Lost","Rajasthan Royals",6,948,906,42,24,4,14,0
"Lost","Royal Challengers Bangalore",6,858,803,55,34,3,18,0
"Lost","Sunrisers Hyderabad",7,971,928,43,22,4,14,3
"All","Chennai Super Kings",17,2725,2564,161,86,11,58,6
"All","Delhi Daredevils",13,1981,1880,101,70,3,23,5
"All","Kings XI Punjab",14,2003,1889,114,59,0,40,15
"All","Kolkata Knight Riders",13,2044,1939,105,63,6,34,2
"All","Mumbai Indians",16,2734,2611,123,78,9,29,7
"All","Rajasthan Royals",13,2137,2038,99,56,9,31,3
"All","Royal Challengers Bangalore",14,2109,2004,105,60,5,36,4
"All","Sunrisers Hyderabad",14,2210,2117,93,51,9,28,5
