"Ground","Location","Matches","Individual Innings","Runs","Balls","Not out","Highest","Average","SR","4s","6s","Min","Boundaries %"
"Wankhede Stadium","Mumbai",8,128,2663,1904,31,133,27.45,139.86,257,107,3247,62.71
"Eden Gardens","Kolkata",7,114,2276,1666,27,98,26.16,136.61,211,104,2665,64.5
"MA Chidambaram Stadium","Chennai",7,120,2005,1682,25,100,21.11,119.2,176,68,2668,55.46
"M Chinnaswamy Stadium","Bangalore",5,78,1500,1029,16,117,24.19,145.77,140,84,1662,70.93
"Feroz Shah Kotla","Delhi",5,72,1357,1087,18,83,25.13,124.84,124,54,1675,60.43
"Sardar Patel Stadium","Ahmedabad",4,53,1248,927,16,79,33.73,134.63,110,45,1450,56.89
"Maharashtra Cricket Association Stadium","Pune",4,69,1156,941,13,68,20.64,122.85,105,44,1484,59.17
"Rajiv Gandhi International Stadium","Hyderabad",4,56,1126,788,13,89,26.19,142.89,105,48,1272,62.88
"Brabourne Stadium","Mumbai",3,46,1067,723,11,104,30.49,147.58,113,41,1217,65.42
"Punjab Cricket Association Stadium","Mohali",4,62,1003,822,15,71,21.34,122.02,88,26,1237,50.65
"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium","Visakhapatnam",3,40,832,674,11,91,28.69,123.44,66,33,1055,55.53
"Shaheed Veer Narayan Singh International Stadium","Raipur",2,26,544,460,8,74,30.22,118.26,53,16,672,56.62
"JSCA International Stadium Complex","Ranchi",1,19,265,239,4,56,17.67,110.88,20,8,396,48.3
