"bowler","O","M","R","W","Econ","bowling_order","match_id","innings","team","opposition"
"A Ashish Reddy",1,0,5,0,5,6,829727,"second","Sunrisers Hyderabad","Rajasthan Royals"
"A Ashish Reddy",1,0,11,1,11,6,829719,"first","Sunrisers Hyderabad","Royal Challengers Bangalore"
"A Ashish Reddy",2,0,15,1,7.5,6,829731,"first","Sunrisers Hyderabad","Delhi Daredevils"
"A Ashish Reddy",2,0,19,1,9.5,6,829773,"second","Sunrisers Hyderabad","Chennai Super Kings"
"A Mishra",2,0,10,1,5,4,829767,"first","Delhi Daredevils","Kings XI Punjab"
"A Mishra",2,0,14,0,7,6,829731,"second","Delhi Daredevils","Sunrisers Hyderabad"
"A Mishra",2,0,25,0,12.5,5,829757,"second","Delhi Daredevils","Royal Challengers Bangalore"
"A Mishra",3,0,34,0,11.33,5,829793,"first","Delhi Daredevils","Sunrisers Hyderabad"
"A Mishra",3.1,0,22,0,6.94,6,829739,"second","Delhi Daredevils","Kolkata Knight Riders"
"A Mishra",4,0,20,1,5,4,829761,"first","Delhi Daredevils","Kolkata Knight Riders"
"A Mishra",4,0,21,1,5.25,5,829707,"first","Delhi Daredevils","Chennai Super Kings"
"A Mishra",4,0,25,1,6.25,5,829783,"second","Delhi Daredevils","Mumbai Indians"
"A Mishra",4,0,32,2,8,4,829715,"second","Delhi Daredevils","Rajasthan Royals"
"A Mishra",4,0,32,2,8,5,829747,"second","Delhi Daredevils","Mumbai Indians"
"A Mishra",4,0,34,1,8.5,4,829725,"first","Delhi Daredevils","Kings XI Punjab"
"A Mishra",4,0,41,0,10.25,5,829777,"first","Delhi Daredevils","Rajasthan Royals"
"A Nehra",3,0,17,1,5.66,3,829809,"first","Chennai Super Kings","Kings XI Punjab"
"A Nehra",3,0,45,0,15,3,829789,"second","Chennai Super Kings","Mumbai Indians"
"A Nehra",4,0,10,4,2.5,2,829745,"second","Chennai Super Kings","Royal Challengers Bangalore"
"A Nehra",4,0,16,2,4,2,829753,"second","Chennai Super Kings","Kings XI Punjab"
"A Nehra",4,0,19,3,4.75,2,829779,"second","Chennai Super Kings","Royal Challengers Bangalore"
"A Nehra",4,0,23,3,5.75,1,829729,"first","Chennai Super Kings","Mumbai Indians"
"A Nehra",4,0,25,3,6.25,1,829707,"second","Chennai Super Kings","Delhi Daredevils"
"A Nehra",4,0,28,1,7,2,829817,"first","Chennai Super Kings","Mumbai Indians"
"A Nehra",4,0,28,3,7,1,829821,"first","Chennai Super Kings","Royal Challengers Bangalore"
"A Nehra",4,0,29,0,7.25,1,829797,"second","Chennai Super Kings","Rajasthan Royals"
"A Nehra",4,0,31,0,7.75,1,829711,"second","Chennai Super Kings","Sunrisers Hyderabad"
"A Nehra",4,0,31,1,7.75,2,829773,"first","Chennai Super Kings","Sunrisers Hyderabad"
"A Nehra",4,0,32,0,8,2,829735,"second","Chennai Super Kings","Rajasthan Royals"
"A Nehra",4,0,36,0,9,2,829723,"second","Chennai Super Kings","Kolkata Knight Riders"
"A Nehra",4,0,38,1,9.5,2,829765,"second","Chennai Super Kings","Kolkata Knight Riders"
"A Nehra",4,0,41,0,10.25,1,829823,"first","Chennai Super Kings","Mumbai Indians"
"AB Dinda",2,0,23,0,11.5,4,829807,"first","Royal Challengers Bangalore","Sunrisers Hyderabad"
"AD Mathews",1,0,3,0,3,6,829757,"second","Delhi Daredevils","Royal Challengers Bangalore"
"AD Mathews",2,0,13,0,6.5,6,829761,"first","Delhi Daredevils","Kolkata Knight Riders"
"AD Mathews",2,0,15,2,7.5,4,829747,"second","Delhi Daredevils","Mumbai Indians"
"AD Mathews",3,0,19,0,6.33,5,829767,"first","Delhi Daredevils","Kings XI Punjab"
"AD Mathews",3,0,23,1,7.66,3,829725,"first","Delhi Daredevils","Kings XI Punjab"
"AD Mathews",3,0,33,0,11,3,829739,"second","Delhi Daredevils","Kolkata Knight Riders"
"AD Mathews",4,0,27,1,6.75,4,829777,"first","Delhi Daredevils","Rajasthan Royals"
"AD Mathews",4,0,33,1,8.25,3,829783,"second","Delhi Daredevils","Mumbai Indians"
"AD Mathews",4,0,38,1,9.5,4,829731,"second","Delhi Daredevils","Sunrisers Hyderabad"
"AD Mathews",4,0,42,1,10.5,3,829715,"second","Delhi Daredevils","Rajasthan Royals"
"AD Russell",1,0,6,1,6,7,829743,"first","Kolkata Knight Riders","Sunrisers Hyderabad"
"AD Russell",1.4,0,22,1,13.2,5,829771,"second","Kolkata Knight Riders","Royal Challengers Bangalore"
"AD Russell",2,0,10,1,5,2,829781,"second","Kolkata Knight Riders","Sunrisers Hyderabad"
"AD Russell",2,0,16,0,8,4,829713,"second","Kolkata Knight Riders","Royal Challengers Bangalore"
"AD Russell",3,0,21,0,7,4,829739,"first","Kolkata Knight Riders","Delhi Daredevils"
"AD Russell",3,0,21,0,7,5,829705,"first","Kolkata Knight Riders","Mumbai Indians"
"AD Russell",4,0,20,2,5,6,829723,"first","Kolkata Knight Riders","Chennai Super Kings"
"AD Russell",4,0,24,1,6,2,829761,"second","Kolkata Knight Riders","Delhi Daredevils"
"AD Russell",4,0,26,2,6.5,5,829765,"first","Kolkata Knight Riders","Chennai Super Kings"
"AD Russell",4,0,32,3,8,5,829811,"first","Kolkata Knight Riders","Rajasthan Royals"
"AD Russell",4,0,37,0,9.25,6,829805,"first","Kolkata Knight Riders","Mumbai Indians"
"AD Russell",4,0,39,2,9.75,3,829733,"first","Kolkata Knight Riders","Kings XI Punjab"
"AD Russell",4,0,50,1,12.5,2,829791,"first","Kolkata Knight Riders","Kings XI Punjab"
"AN Ahmed",4,0,28,1,7,4,829713,"first","Royal Challengers Bangalore","Kolkata Knight Riders"
"AN Ahmed",4,0,41,0,10.25,4,829719,"second","Royal Challengers Bangalore","Sunrisers Hyderabad"
"AN Ahmed",4,0,59,0,14.75,3,829737,"first","Royal Challengers Bangalore","Mumbai Indians"
"Ankit Sharma",3,0,26,1,8.66,1,829735,"first","Rajasthan Royals","Chennai Super Kings"
"Ankit Sharma",3,0,28,0,9.33,5,829819,"first","Rajasthan Royals","Royal Challengers Bangalore"
"Ankit Sharma",4,0,29,1,7.25,6,829769,"first","Rajasthan Royals","Mumbai Indians"
"Ankit Sharma",4,0,31,1,7.75,3,829797,"first","Rajasthan Royals","Chennai Super Kings"
"Anureet Singh",2,0,21,2,10.5,3,829803,"second","Kings XI Punjab","Royal Challengers Bangalore"
"Anureet Singh",2.5,0,30,0,10.58,7,829809,"second","Kings XI Punjab","Chennai Super Kings"
"Anureet Singh",3,0,24,0,8,3,829767,"second","Kings XI Punjab","Delhi Daredevils"
"Anureet Singh",3.5,0,56,2,14.6,3,829791,"second","Kings XI Punjab","Kolkata Knight Riders"
"Anureet Singh",4,0,23,3,5.75,2,829709,"first","Kings XI Punjab","Rajasthan Royals"
"Anureet Singh",4,0,25,0,6.25,3,829785,"first","Kings XI Punjab","Royal Challengers Bangalore"
"Anureet Singh",4,0,27,1,6.75,3,829759,"first","Kings XI Punjab","Sunrisers Hyderabad"
"Anureet Singh",4,0,30,1,7.5,2,829775,"first","Kings XI Punjab","Mumbai Indians"
"Anureet Singh",4,0,33,2,8.25,2,829725,"second","Kings XI Punjab","Delhi Daredevils"
"Anureet Singh",4,0,37,0,9.25,2,829733,"second","Kings XI Punjab","Kolkata Knight Riders"
