"Player","Individual Innings","Runs","Balls","Not out","Highest","Average","SR","Team Runs %","4s","6s","Min","Boundaries %"
"AD Russell",11,326,169,2,66,36.22,192.9,18.88,35,19,243,77.91
"AB de Villiers",13,456,248,3,133,45.6,183.87,22.69,51,21,359,72.37
"HH Pandya",8,112,62,3,61,22.4,180.65,7.83,9,8,82,75
"KA Pollard",14,419,256,3,70,38.09,163.67,17.09,28,28,427,66.83
"Mandeep Singh",8,130,80,2,54,21.67,162.5,12.15,13,6,117,67.69
"Harbhajan Singh",10,117,73,3,64,16.71,160.27,6.55,9,9,114,76.92
"DJ Hooda",9,151,95,0,54,16.78,158.95,10.34,6,11,167,59.6
"P Negi",9,116,73,1,36,14.5,158.9,8.41,10,5,133,60.34
"DA Warner",14,562,359,1,91,43.23,156.55,25.43,65,21,532,68.68
"BB McCullum",14,436,280,1,100,33.54,155.71,19.27,51,23,437,78.44
"CH Gayle",12,480,324,1,117,43.64,148.15,26.22,38,37,468,77.92
"AT Rayudu",14,281,193,5,53,31.22,145.6,11.44,18,16,343,59.79
"RG Sharma",16,482,333,2,98,34.43,144.74,17.63,41,21,575,60.17
"D Wiese",6,111,78,3,47,37,142.31,13.75,10,4,123,57.66
"AD Mathews",9,143,101,3,28,23.83,141.58,9.96,12,6,157,58.74
"SA Yadav",13,157,113,4,46,17.44,138.94,7.68,12,8,180,61.15
"PA Patel",14,339,246,1,59,26.08,137.8,14.08,47,5,421,64.31
"GJ Bailey",13,259,190,2,61,23.55,136.32,14.29,22,7,299,50.19
"MC Henriques",9,287,211,2,74,41,136.02,19.83,19,13,361,53.66
"KM Jadhav",11,189,139,4,63,27,135.97,11.26,16,7,237,56.08
"YK Pathan",12,312,231,5,52,44.57,135.06,16.64,29,12,442,60.26
"SR Watson",9,347,257,1,104,43.38,135.02,23.24,37,14,412,66.86
"DA Miller",13,357,266,2,89,32.45,134.21,19.32,21,21,399,58.82
"SPD Smith",12,293,221,1,79,26.64,132.58,15.04,33,3,347,51.19
"V Kohli",14,503,380,4,82,50.3,132.37,23.85,35,23,632,55.27
