"Player","Matches","Individual Innings","Runs","Balls","Not out","Highest","Average","SR","Team Runs %","4s","6s","Min","Boundaries %"
"AD Russell",11,11,326,169,2,66,36.22,192.9,18.88,35,19,243,77.91
"AB de Villiers",13,13,456,248,3,133,45.6,183.87,22.69,51,21,359,72.37
"KA Pollard",14,14,419,256,3,70,38.09,163.67,17.09,28,28,427,66.83
"DA Warner",14,14,562,359,1,91,43.23,156.55,25.43,65,21,532,68.68
"BB McCullum",14,14,436,280,1,100,33.54,155.71,19.27,51,23,437,78.44
"CH Gayle",12,12,480,324,1,117,43.64,148.15,26.22,38,37,468,77.92
"AT Rayudu",14,14,281,193,5,53,31.22,145.6,11.44,18,16,343,59.79
"RG Sharma",16,16,482,333,2,98,34.43,144.74,17.63,41,21,575,60.17
"D Wiese",6,6,111,78,3,47,37,142.31,13.75,10,4,123,57.66
"PA Patel",14,14,339,246,1,59,26.08,137.8,14.08,47,5,421,64.31
"MC Henriques",9,9,287,211,2,74,41,136.02,19.83,19,13,361,53.66
"KM Jadhav",11,11,189,139,4,63,27,135.97,11.26,16,7,237,56.08
"YK Pathan",12,12,312,231,5,52,44.57,135.06,16.64,29,12,442,60.26
"SR Watson",9,9,347,257,1,104,43.38,135.02,23.24,37,14,412,66.86
"DA Miller",13,13,357,266,2,89,32.45,134.21,19.32,21,21,399,58.82
"SPD Smith",12,12,293,221,1,79,26.64,132.58,15.04,33,3,347,51.19
"V Kohli",14,14,503,380,4,82,50.3,132.37,23.85,35,23,632,55.27
"RV Uthappa",13,13,364,277,1,80,30.33,131.41,17.81,42,7,428,57.69
"AM Rahane",13,13,540,413,2,91,49.09,130.75,25.27,53,13,667,53.7
"SS Iyer",13,13,419,324,1,83,34.92,129.32,21.15,40,20,462,66.83
"JP Duminy",12,12,347,272,2,78,34.7,127.57,18.64,23,17,472,55.91
"F du Plessis",15,15,380,304,2,55,29.23,125,16.35,37,5,523,46.84
"S Dhawan",14,14,353,286,1,54,27.15,123.43,15.97,45,6,496,61.19
"LMP Simmons",13,13,540,441,1,71,45,122.45,24.07,56,21,639,64.81
"MS Dhoni",17,17,372,305,5,53,31,121.97,13.65,27,17,451,56.45
