"Player","Matches","Individual Innings","Runs","Balls","Not out","Highest","Average","SR","Team Runs %","4s","6s","Min","Boundaries %"
"AM Rahane",13,13,540,413,2,91,49.09,130.75,25.2690687880206,53,13,667,53.7
"LMP Simmons",13,13,540,441,1,71,45,122.45,24.074899687918,56,21,639,64.81
"V Kohli",14,14,503,380,4,82,50.3,132.37,23.8501659554291,35,23,632,55.27
"RG Sharma",16,16,482,333,2,98,34.43,144.74,17.629846378932,41,21,575,60.17
"DA Warner",14,14,562,359,1,91,43.23,156.55,25.4298642533937,65,21,532,68.68
"SK Raina",17,17,374,305,2,62,24.93,122.62,13.7247706422018,31,16,525,58.82
"F du Plessis",15,15,380,304,2,55,29.23,125,16.3511187607573,37,5,523,46.84
"S Dhawan",14,14,353,286,1,54,27.15,123.43,15.972850678733,45,6,496,61.19
"JP Duminy",12,12,347,272,2,78,34.7,127.57,18.6358754027927,23,17,472,55.91
"G Gambhir",13,13,327,278,0,60,25.15,117.63,15.9980430528376,41,4,471,57.49
"CH Gayle",12,12,480,324,1,117,43.64,148.15,26.2151829601311,38,37,468,77.92
"SS Iyer",13,13,419,324,1,83,34.92,129.32,21.1509338717819,40,20,462,66.83
"MS Dhoni",17,17,372,305,5,53,31,121.97,13.651376146789,27,17,451,56.45
"DR Smith",16,16,399,335,0,62,24.94,119.1,15.3994596680818,52,16,449,76.19
"YK Pathan",12,12,312,231,5,52,44.57,135.06,16.64,29,12,442,60.26
"BB McCullum",14,14,436,280,1,100,33.54,155.71,19.2749778956676,51,23,437,78.44
"RV Uthappa",13,13,364,277,1,80,30.33,131.41,17.8082191780822,42,7,428,57.69
"KA Pollard",14,14,419,256,3,70,38.09,163.67,17.0880913539967,28,28,427,66.83
"PA Patel",14,14,339,246,1,59,26.08,137.8,14.0839218944745,47,5,421,64.31
"SR Watson",9,9,347,257,1,104,43.38,135.02,23.2417950435365,37,14,412,66.86
"DA Miller",13,13,357,266,2,89,32.45,134.21,19.3181818181818,21,21,399,58.82
"MC Henriques",9,9,287,211,2,74,41,136.02,19.8341395991707,19,13,361,53.66
"AB de Villiers",13,13,456,248,3,133,45.6,183.87,22.6865671641791,51,21,359,72.37
"SPD Smith",12,12,293,221,1,79,26.64,132.58,15.041067761807,33,3,347,51.19
"AT Rayudu",14,14,281,193,5,53,31.22,145.6,11.4413680781759,18,16,343,59.79
