"Player","team","Individual Innings","Runs","Balls","Not out","Highest","Average","SR","Team Runs %","4s","6s","Min","Boundaries %"
"DA Warner","Sunrisers Hyderabad",14,562,359,1,91,43.23,156.55,25.43,65,21,532,68.68
"AM Rahane","Rajasthan Royals",13,540,413,2,91,49.09,130.75,25.27,53,13,667,53.7
"LMP Simmons","Mumbai Indians",13,540,441,1,71,45,122.45,24.07,56,21,639,64.81
"V Kohli","Royal Challengers Bangalore",14,503,380,4,82,50.3,132.37,23.85,35,23,632,55.27
"RG Sharma","Mumbai Indians",16,482,333,2,98,34.43,144.74,17.63,41,21,575,60.17
"CH Gayle","Royal Challengers Bangalore",12,480,324,1,117,43.64,148.15,26.22,38,37,468,77.92
"AB de Villiers","Royal Challengers Bangalore",13,456,248,3,133,45.6,183.87,22.69,51,21,359,72.37
"BB McCullum","Chennai Super Kings",14,436,280,1,100,33.54,155.71,19.27,51,23,437,78.44
"KA Pollard","Mumbai Indians",14,419,256,3,70,38.09,163.67,17.09,28,28,427,66.83
"SS Iyer","Delhi Daredevils",13,419,324,1,83,34.92,129.32,21.15,40,20,462,66.83
"DR Smith","Chennai Super Kings",16,399,335,0,62,24.94,119.1,15.4,52,16,449,76.19
"F du Plessis","Chennai Super Kings",15,380,304,2,55,29.23,125,16.35,37,5,523,46.84
"SK Raina","Chennai Super Kings",17,374,305,2,62,24.93,122.62,13.72,31,16,525,58.82
"MS Dhoni","Chennai Super Kings",17,372,305,5,53,31,121.97,13.65,27,17,451,56.45
"RV Uthappa","Kolkata Knight Riders",13,364,277,1,80,30.33,131.41,17.81,42,7,428,57.69
"DA Miller","Kings XI Punjab",13,357,266,2,89,32.45,134.21,19.32,21,21,399,58.82
"S Dhawan","Sunrisers Hyderabad",14,353,286,1,54,27.15,123.43,15.97,45,6,496,61.19
"SR Watson","Rajasthan Royals",9,347,257,1,104,43.38,135.02,23.24,37,14,412,66.86
"JP Duminy","Delhi Daredevils",12,347,272,2,78,34.7,127.57,18.64,23,17,472,55.91
"PA Patel","Mumbai Indians",14,339,246,1,59,26.08,137.8,14.08,47,5,421,64.31
"G Gambhir","Kolkata Knight Riders",13,327,278,0,60,25.15,117.63,16,41,4,471,57.49
"AD Russell","Kolkata Knight Riders",11,326,169,2,66,36.22,192.9,18.88,35,19,243,77.91
"YK Pathan","Kolkata Knight Riders",12,312,231,5,52,44.57,135.06,16.64,29,12,442,60.26
"SPD Smith","Rajasthan Royals",12,293,221,1,79,26.64,132.58,15.04,33,3,347,51.19
"MC Henriques","Sunrisers Hyderabad",9,287,211,2,74,41,136.02,19.83,19,13,361,53.66
