"Player","Matches","Individual Innings","Runs","Balls","Not out","Highest","Average","SR","Team Runs %","4s","6s","Min","Boundaries %"
"CH Gayle",12,12,480,324,1,117,43.64,148.15,26.22,38,37,468,77.92
"KA Pollard",14,14,419,256,3,70,38.09,163.67,17.09,28,28,427,66.83
"BB McCullum",14,14,436,280,1,100,33.54,155.71,19.27,51,23,437,78.44
"V Kohli",14,14,503,380,4,82,50.3,132.37,23.85,35,23,632,55.27
"AB de Villiers",13,13,456,248,3,133,45.6,183.87,22.69,51,21,359,72.37
"DA Miller",13,13,357,266,2,89,32.45,134.21,19.32,21,21,399,58.82
"DA Warner",14,14,562,359,1,91,43.23,156.55,25.43,65,21,532,68.68
"LMP Simmons",13,13,540,441,1,71,45,122.45,24.07,56,21,639,64.81
"RG Sharma",16,16,482,333,2,98,34.43,144.74,17.63,41,21,575,60.17
"SS Iyer",13,13,419,324,1,83,34.92,129.32,21.15,40,20,462,66.83
"AD Russell",11,11,326,169,2,66,36.22,192.9,18.88,35,19,243,77.91
"JP Duminy",12,12,347,272,2,78,34.7,127.57,18.64,23,17,472,55.91
"MS Dhoni",17,17,372,305,5,53,31,121.97,13.65,27,17,451,56.45
"AT Rayudu",14,14,281,193,5,53,31.22,145.6,11.44,18,16,343,59.79
"DR Smith",16,16,399,335,0,62,24.94,119.1,15.4,52,16,449,76.19
"SK Raina",17,17,374,305,2,62,24.93,122.62,13.72,31,16,525,58.82
"SR Watson",9,9,347,257,1,104,43.38,135.02,23.24,37,14,412,66.86
"AM Rahane",13,13,540,413,2,91,49.09,130.75,25.27,53,13,667,53.7
"MC Henriques",9,9,287,211,2,74,41,136.02,19.83,19,13,361,53.66
"YK Pathan",12,12,312,231,5,52,44.57,135.06,16.64,29,12,442,60.26
"DJ Hooda",9,9,151,95,0,54,16.78,158.95,10.34,6,11,167,59.6
"EJG Morgan",9,9,187,151,1,63,23.38,123.84,13.25,11,11,214,58.82
"WP Saha",13,13,249,197,0,42,19.15,126.4,13.64,16,10,312,49.8
"Harbhajan Singh",10,10,117,73,3,64,16.71,160.27,6.55,9,9,114,76.92
"Yuvraj Singh",12,12,237,203,0,57,19.75,116.75,12.73,23,9,279,61.6
