"Team","Innings","Match","Individual Innings","Runs","Balls","Not out","Highest","Average","SR","4s","6s","Boundaries %","Match_date","Match_no"
"Mumbai Indians","first","1st match",5,165,120,2,98,55,137.5,18,7,69.09,"2015-04-08",1
"Kolkata Knight Riders","second","1st match",5,166,111,2,57,55.33,149.55,11,11,66.27,"2015-04-08",1
"Chennai Super Kings","first","2nd match",9,136,121,2,34,19.43,112.4,13,3,51.47,"2015-04-09",2
"Delhi Daredevils","second","2nd match",11,144,120,2,73,16,120,15,2,50,"2015-04-09",2
"Rajasthan Royals","first","3rd match",9,141,120,2,46,20.14,117.5,10,7,58.16,"2015-04-10",3
"Kings XI Punjab","second","3rd match",10,127,120,2,37,15.88,105.83,14,3,58.27,"2015-04-10",3
"Chennai Super Kings","first","4th match",6,194,124,2,100,48.5,156.45,16,14,76.29,"2015-04-11",4
"Sunrisers Hyderabad","second","4th match",8,153,120,2,53,25.5,127.5,8,7,48.37,"2015-04-11",4
"Kolkata Knight Riders","first","5th match",8,171,120,2,58,28.5,142.5,23,3,64.33,"2015-04-11",5
"Royal Challengers Bangalore","second","5th match",9,171,114,2,96,24.43,150,12,12,70.18,"2015-04-11",5
"Delhi Daredevils","first","6th match",5,175,120,2,44,58.33,145.83,12,10,61.71,"2015-04-12",6
"Rajasthan Royals","second","6th match",9,180,120,2,54,25.71,150,15,8,60,"2015-04-12",6
"Kings XI Punjab","first","7th match",7,171,120,2,61,34.2,142.5,21,4,63.16,"2015-04-12",7
"Mumbai Indians","second","7th match",9,151,122,2,64,21.57,123.77,14,9,72.85,"2015-04-12",7
"Royal Challengers Bangalore","first","8th match",11,150,119,1,46,15,126.05,15,7,68,"2015-04-13",8
"Sunrisers Hyderabad","second","8th match",4,156,106,2,57,78,147.17,14,7,62.82,"2015-04-13",8
"Mumbai Indians","first","9th match",8,159,121,2,70,26.5,131.4,17,8,72.96,"2015-04-14",9
"Rajasthan Royals","second","9th match",5,161,118,2,79,53.67,136.44,15,3,48.45,"2015-04-14",9
"Kings XI Punjab","first","10th match",8,157,120,1,47,22.43,130.83,7,10,56.05,"2015-04-15",10
"Delhi Daredevils","second","10th match",7,158,120,2,68,31.6,131.67,17,5,62.03,"2015-04-15",10
"Sunrisers Hyderabad","first","11th match",7,121,121,2,27,24.2,100,11,4,56.2,"2015-04-16",11
"Rajasthan Royals","second","11th match",6,124,120,2,62,31,103.33,15,0,48.39,"2015-04-16",11
"Mumbai Indians","first","12th match",9,176,120,2,64,25.14,146.67,14,10,65.91,"2015-04-17",12
"Chennai Super Kings","second","12th match",6,178,103,2,62,44.5,172.82,21,9,77.53,"2015-04-17",12
"Delhi Daredevils","first","13th match",6,158,120,2,60,39.5,131.67,9,9,56.96,"2015-04-18",13
"Sunrisers Hyderabad","second","13th match",9,159,120,1,41,19.88,132.5,10,8,55.35,"2015-04-18",13
"Kings XI Punjab","first","14th match",10,142,120,1,60,15.78,118.33,10,7,57.75,"2015-04-18",14
"Kolkata Knight Riders","second","14th match",8,157,107,2,66,26.17,146.73,21,4,68.79,"2015-04-18",14
"Chennai Super Kings","first","15th match",6,150,120,2,62,37.5,125,18,3,60,"2015-04-19",15
"Rajasthan Royals","second","15th match",4,156,110,2,76,78,141.82,12,6,53.85,"2015-04-19",15
"Mumbai Indians","first","16th match",8,192,120,1,59,27.43,160,23,10,79.17,"2015-04-19",16
"Royal Challengers Bangalore","second","16th match",9,175,122,2,47,25,143.44,20,8,73.14,"2015-04-19",16
"Delhi Daredevils","first","17th match",9,133,120,1,32,16.62,110.83,13,5,61.65,"2015-04-20",17
"Kolkata Knight Riders","second","17th match",6,140,109,2,60,35,128.44,18,2,60,"2015-04-20",17
"Rajasthan Royals","first","18th match",8,181,121,2,74,30.17,149.59,16,8,61.88,"2015-04-21",18
"Kings XI Punjab","second","18th match",8,186,120,2,65,31,155,12,10,58.06,"2015-04-21",18
"Sunrisers Hyderabad","first","19th match",6,172,121,2,91,43,142.15,15,7,59.3,"2015-04-22",19
"Kolkata Knight Riders","second","19th match",6,98,72,2,34,24.5,136.11,6,5,55.1,"2015-04-22",19
"Chennai Super Kings","first","20th match",10,171,120,2,62,21.38,142.5,17,10,74.85,"2015-04-22",20
"Royal Challengers Bangalore","second","20th match",9,148,120,1,51,18.5,123.33,12,7,60.81,"2015-04-22",20
